,dipolarophile
448,COC1=C(C#N)C2CCC1C2
449,CNC(=O)C1=C(F)C2CCC1C2
450,COC1=C(C)C2CCC1C2
451,CC(=O)C1=C(C#N)C2CCC1C2
452,COC1=C(c2ccccc2)C2CCC1C2
453,N#CC1=C(C#N)C2CCC1C2
454,BrC1=C(c2ccccc2)C2CCC1C2
455,CNC(=O)C1=C(C(=O)OC)C2CCC1C2
456,N#CC1=C(c2ccccc2)C2CCC1C2
457,BrC1=C(c2ccccc2)C2CCC1C2
458,FC1=C(F)C2CCC1C2
459,CNC(=O)C1=C(C(F)(F)F)C2CCC1C2
460,COC1=C(F)C2CCC1C2
461,FC(F)(F)C1=C(Br)C2CCC1C2
462,COC(=O)C1=C(OC)C2CCC1C2
463,CC(=O)C1=C(Cl)C2CCC1C2
464,COC1=C(c2ccccc2)C2CCC1C2
465,CNC(=O)C1=C(Br)C2CCC1C2
466,COC1=C(C#N)C2CCC1C2
467,CNC(=O)C1=C(C(=O)NC)C2CCC1C2
468,COC1=C(OC)C2CCC1C2
469,COC1=C(C(C)=O)C2CCC1C2
470,COC(=O)C1=C(C(C)=O)C2CCC1C2
471,FC1=C(Cl)C2CCC1C2
472,COC(=O)C1=C(C(=O)OC)C2CCC1C2
473,COC1=C(c2ccccc2)C2CCC1C2
474,COC(=O)C1=C(Cl)C2CCC1C2
475,COC1=C(Br)C2CCC1C2
476,COC(=O)C1=C(C(=O)OC)C2CCC1C2
477,CC1=C(Cl)C2CCC1C2
478,COC(=O)C1=C(F)C2CCC1C2
479,N#CC1=C(F)C2CCC1C2
480,BrC1=C(Br)C2CCC1C2
481,CC(=O)C1=C(C)C2CCC1C2
482,FC1=C(C(F)(F)F)C2CCC1C2
483,FC(F)(F)C1=C(Cl)C2CCC1C2
484,COC(=O)C1=C(Br)C2CCC1C2
485,CC(=O)C1=C(c2ccccc2)C2CCC1C2
486,COC(=O)C1=C(C)C2CCC1C2
487,COC(=O)C1=C(C(=O)OC)C2CCC1C2
488,COC(=O)C1=C(F)C2CCC1C2
489,CNC(=O)C1=C(Br)C2CCC1C2
490,N#CC1=C(Br)C2CCC1C2
491,C1=C(c2ccccc2)C2CCC1C2
492,COC(=O)C1=CC2CCC1C2
493,CNC(=O)C1=C(Cl)C2CCC1C2
494,CNC(=O)C1=C(C(C)=O)C2CCC1C2
495,COC(=O)C1=C(F)C2CCC1C2
496,COC(=O)C1=C(Cl)C2CCC1C2
497,C1=CC2CCC1C2
498,CC1=C(C)C2CCC1C2
499,CC(=O)C1=CC2CCC1C2
500,FC(F)(F)C1=C(Br)C2CCC1C2
501,COC(=O)C1=C(Cl)C2CCC1C2
502,COC(=O)C1=C(C(C)=O)C2CCC1C2
503,CNC(=O)C1=C(OC)C2CCC1C2
504,FC1=C(Cl)C2CCC1C2
505,CNC(=O)C1=CC2CCC1C2
506,N#CC1=C(C#N)C2CCC1C2
507,COC(=O)C1=C(C)C2CCC1C2
508,CNC(=O)C1=C(Br)C2CCC1C2
509,CC1=C(Cl)C2CCC1C2
510,CC1=C(Br)C2CCC1C2
511,CC(=O)C1=C(c2ccccc2)C2CCC1C2
512,CC(=O)C1=C(c2ccccc2)C2CCC1C2
513,COC(=O)C1=C(Cl)C2CCC1C2
514,FC1=CC2CCC1C2
515,CNC(=O)C1=C(C)C2CCC1C2
516,FC1=C(c2ccccc2)C2CCC1C2
517,CC1=C(Br)C2CCC1C2
518,CC(=O)C1=C(C#N)C2CCC1C2
519,COC1=C(Br)C2CCC1C2
520,CNC(=O)C1=C(F)C2CCC1C2
521,CNC(=O)C1=C(Cl)C2CCC1C2
522,CC(=O)C1=C(F)C2CCC1C2
523,CNC(=O)C1=C(F)C2CCC1C2
524,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
525,CC1=C(C(F)(F)F)C2CCC1C2
526,COC1=C(c2ccccc2)C2CCC1C2
527,COC(=O)C1=C(F)C2CCC1C2
528,C1=C(c2ccccc2)C2CCC1C2
529,COC(=O)C1=C(Br)C2CCC1C2
530,FC(F)(F)C1=C(Cl)C2CCC1C2
531,COC(=O)C1=CC2CCC1C2
532,COC1=C(F)C2CCC1C2
533,COC1=C(C(F)(F)F)C2CCC1C2
534,CC1=C(Br)C2CCC1C2
535,COC(=O)C1=C(C)C2CCC1C2
536,N#CC1=C(c2ccccc2)C2CCC1C2
537,COC(=O)C1=C(C(=O)OC)C2CCC1C2
538,CC(=O)C1=C(Cl)C2CCC1C2
539,CNC(=O)C1=CC2CCC1C2
540,COC(=O)C1=C(C(=O)OC)C2CCC1C2
541,COC1=C(C)C2CCC1C2
542,N#CC1=C(c2ccccc2)C2CCC1C2
543,CNC(=O)C1=C(c2ccccc2)C2CCC1C2
544,COC1=C(C(C)=O)C2CCC1C2
545,CC(=O)C1=C(C#N)C2CCC1C2
546,COC1=C(C(C)=O)C2CCC1C2
547,C1=CC2CCC1C2
548,CC1=C(Cl)C2CCC1C2
549,COC(=O)C1=C(C)C2CCC1C2
550,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
551,ClC1=C(Br)C2CCC1C2
552,CNC(=O)C1=C(C(C)=O)C2CCC1C2
553,N#CC1=C(c2ccccc2)C2CCC1C2
554,CC(=O)C1=C(c2ccccc2)C2CCC1C2
555,COC(=O)C1=C(C(=O)OC)C2CCC1C2
556,CC1=CC2CCC1C2
557,CC(=O)C1=C(Cl)C2CCC1C2
558,BrC1=C(Br)C2CCC1C2
559,CNC(=O)C1=CC2CCC1C2
560,CC(=O)C1=C(Br)C2CCC1C2
561,FC(F)(F)C1=C(Cl)C2CCC1C2
562,FC1=CC2CCC1C2
563,COC(=O)C1=CC2CCC1C2
564,CNC(=O)C1=C(Cl)C2CCC1C2
565,COC(=O)C1=C(Cl)C2CCC1C2
566,N#CC1=C(C#N)C2CCC1C2
567,CC(=O)C1=C(C(F)(F)F)C2CCC1C2
568,COC(=O)C1=CC2CCC1C2
569,COC(=O)C1=CC2CCC1C2
570,FC1=C(c2ccccc2)C2CCC1C2
571,CC1=C(c2ccccc2)C2CCC1C2
572,CC(=O)C1=C(C(F)(F)F)C2CCC1C2
573,CNC(=O)C1=C(c2ccccc2)C2CCC1C2
574,FC1=C(c2ccccc2)C2CCC1C2
575,FC1=CC2CCC1C2
576,N#CC1=C(c2ccccc2)C2CCC1C2
577,CNC(=O)C1=C(OC)C2CCC1C2
578,COC(=O)C1=C(F)C2CCC1C2
579,COC(=O)C1=C(C(F)(F)F)C2CCC1C2
580,CC(=O)C1=C(C#N)C2CCC1C2
581,COC(=O)C1=C(C(C)=O)C2CCC1C2
582,FC1=CC2CCC1C2
583,COC1=CC2CCC1C2
584,FC(F)(F)C1=C(c2ccccc2)C2CCC1C2
585,N#CC1=C(Br)C2CCC1C2
586,COC1=C(Cl)C2CCC1C2
587,ClC1=C(Br)C2CCC1C2
588,N#CC1=C(c2ccccc2)C2CCC1C2
589,CC(=O)C1=CC2CCC1C2
590,N#CC1=C(Cl)C2CCC1C2
591,CC1=C(Br)C2CCC1C2
592,CNC(=O)C1=C(F)C2CCC1C2
593,FC1=C(F)C2CCC1C2
594,CC1=C(F)C2CCC1C2
595,COC(=O)C1=C(OC)C2CCC1C2
596,ClC1=CC2CCC1C2
597,c1ccc(C2=C(c3ccccc3)C3CCC2C3)cc1
598,CC1=C(F)C2CCC1C2
599,CC(=O)C1=C(c2ccccc2)C2CCC1C2
600,N#CC1=C(C(F)(F)F)C2CCC1C2
601,c1ccc(C2=C(c3ccccc3)C3CCC2C3)cc1
602,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
603,CNC(=O)C1=C(c2ccccc2)C2CCC1C2
604,COC1=C(Br)C2CCC1C2
605,N#CC1=C(F)C2CCC1C2
606,FC1=C(Cl)C2CCC1C2
607,CC(=O)C1=C(Br)C2CCC1C2
608,CNC(=O)C1=C(F)C2CCC1C2
609,COC1=C(C(F)(F)F)C2CCC1C2
610,FC1=C(Br)C2CCC1C2
611,CC1=C(Cl)C2CCC1C2
612,N#CC1=C(C#N)C2CCC1C2
613,COC(=O)C1=C(C(C)=O)C2CCC1C2
614,FC(F)(F)C1=CC2CCC1C2
615,FC(F)(F)C1=CC2CCC1C2
616,ClC1=C(c2ccccc2)C2CCC1C2
617,FC(F)(F)C1=C(Cl)C2CCC1C2
618,ClC1=C(Cl)C2CCC1C2
619,FC(F)(F)C1=C(c2ccccc2)C2CCC1C2
620,C1=C(c2ccccc2)C2CCC1C2
621,FC(F)(F)C1=C(Br)C2CCC1C2
622,C1=CC2CCC1C2
623,FC1=C(Br)C2CCC1C2
624,CC(=O)C1=C(Cl)C2CCC1C2
625,FC(F)(F)C1=C(C(F)(F)F)C2CCC1C2
626,CC(=O)C1=C(C#N)C2CCC1C2
627,CNC(=O)C1=C(F)C2CCC1C2
628,COC(=O)C1=C(C#N)C2CCC1C2
629,CNC(=O)C1=C(C#N)C2CCC1C2
630,CC1=C(C(F)(F)F)C2CCC1C2
631,CNC(=O)C1=C(Br)C2CCC1C2
632,CC1=C(C(F)(F)F)C2CCC1C2
633,FC(F)(F)C1=CC2CCC1C2
634,COC1=C(c2ccccc2)C2CCC1C2
