,dipolarophile
340,COC(=O)C1=C(Cl)C2CCC1C2
341,N#CC1=C(F)C2CCC1C2
342,COC(=O)C1=C(C#N)C2CCC1C2
343,FC1=C(Cl)C2CCC1C2
344,CC(=O)C1=C(Br)C2CCC1C2
345,COC(=O)C1=C(C)C2CCC1C2
346,FC(F)(F)C1=C(Cl)C2CCC1C2
347,BrC1=CC2CCC1C2
348,N#CC1=C(Cl)C2CCC1C2
349,COC(=O)C1=C(C(=O)OC)C2CCC1C2
350,CNC(=O)C1=C(C(=O)NC)C2CCC1C2
351,COC1=C(C(F)(F)F)C2CCC1C2
352,C1=C(c2ccccc2)C2CCC1C2
353,FC(F)(F)C1=C(c2ccccc2)C2CCC1C2
354,COC1=CC2CCC1C2
355,BrC1=C(Br)C2CCC1C2
356,COC1=C(OC)C2CCC1C2
357,COC1=C(C#N)C2CCC1C2
358,CC1=C(c2ccccc2)C2CCC1C2
359,COC(=O)C1=C(c2ccccc2)C2CCC1C2
360,COC1=C(C)C2CCC1C2
361,CNC(=O)C1=C(C)C2CCC1C2
362,COC(=O)C1=C(OC)C2CCC1C2
363,ClC1=C(Br)C2CCC1C2
364,CC(=O)C1=C(C#N)C2CCC1C2
365,CC1=C(C)C2CCC1C2
366,CNC(=O)C1=CC2CCC1C2
367,CC1=CC2CCC1C2
368,CC1=C(F)C2CCC1C2
369,CNC(=O)C1=C(C#N)C2CCC1C2
370,C1=CC2CCC1C2
371,CC(=O)C1=C(C(C)=O)C2CCC1C2
372,FC1=C(F)C2CCC1C2
373,BrC1=C(c2ccccc2)C2CCC1C2
374,ClC1=C(c2ccccc2)C2CCC1C2
375,CC(=O)C1=C(C(F)(F)F)C2CCC1C2
376,CC(=O)C1=C(F)C2CCC1C2
377,COC1=C(c2ccccc2)C2CCC1C2
378,N#CC1=C(Br)C2CCC1C2
379,COC(=O)C1=C(F)C2CCC1C2
380,CC1=C(Cl)C2CCC1C2
381,FC1=C(C(F)(F)F)C2CCC1C2
382,CNC(=O)C1=C(Br)C2CCC1C2
383,COC(=O)C1=C(C(C)=O)C2CCC1C2
384,ClC1=C(Cl)C2CCC1C2
385,N#CC1=C(C(F)(F)F)C2CCC1C2
386,CC1=C(C(F)(F)F)C2CCC1C2
387,COC1=C(C(C)=O)C2CCC1C2
388,CC(=O)C1=CC2CCC1C2
389,CNC(=O)C1=C(Cl)C2CCC1C2
390,CC1=C(C#N)C2C=CC1O2
391,COC(=O)C1=C(F)C2C=CC1O2
392,BrC1=C(c2ccccc2)C2C=CC1O2
393,FC1=C(Br)C2C=CC1O2
394,COC(=O)C1=C(C#N)C2C=CC1O2
395,COC1=C(Cl)C2C=CC1O2
396,ClC1=C(Cl)C2C=CC1O2
397,COC(=O)C1=C(OC)C2C=CC1O2
398,C1=CC2OC1C(c1ccccc1)=C2c1ccccc1
399,CNC(=O)C1=C(C#N)C2C=CC1O2
400,CNC(=O)C1=C(C(=O)OC)C2C=CC1O2
401,CC(=O)C1=C(C#N)C2C=CC1O2
402,FC1=C(F)C2C=CC1O2
403,FC(F)(F)C1=C(Cl)C2C=CC1O2
404,CC(=O)C1=C(Cl)C2C=CC1O2
405,CC(=O)C1=C(F)C2C=CC1O2
406,FC(F)(F)C1=C(c2ccccc2)C2C=CC1O2
407,CC(=O)C1=C(C)C2C=CC1O2
408,FC1=C(c2ccccc2)C2C=CC1O2
409,CC1=C(c2ccccc2)C2C=CC1O2
410,FC(F)(F)C1=CC2C=CC1O2
411,FC(F)(F)C1=C(C(F)(F)F)C2C=CC1O2
412,CNC(=O)C1=C(C(=O)NC)C2C=CC1O2
413,COC(=O)C1=C(c2ccccc2)C2C=CC1O2
414,CC(=O)C1=C(C(F)(F)F)C2C=CC1O2
415,COC1=C(c2ccccc2)C2C=CC1O2
416,N#CC1=C(Cl)C2C=CC1O2
417,COC(=O)C1=C(C)C2C=CC1O2
418,ClC1=C(c2ccccc2)C2C=CC1O2
419,COC(=O)C1=C(Br)C2C=CC1O2
420,CNC(=O)C1=C(c2ccccc2)C2C=CC1O2
421,ClC1=CC2C=CC1O2
422,COC1=C(Br)C2C=CC1O2
423,CNC(=O)C1=C(C(F)(F)F)C2C=CC1O2
424,COC1=C(OC)C2C=CC1O2
425,CC1=C(F)C2C=CC1O2
426,COC(=O)C1=C(Cl)C2C=CC1O2
427,CC1=C(C)C2C=CC1O2
428,COC1=CC2C=CC1O2
429,FC1=C(Cl)C2C=CC1O2
430,CNC(=O)C1=C(OC)C2C=CC1O2
431,N#CC1=C(C(F)(F)F)C2C=CC1O2
